id,project_name,client_name,manager_id,tl_id,assigned_hours,working_hours,assigned_date,start_date,completed_date,project_status,project_activity_status,soft_delete,remainder_sent_date,modelling_hours,checking_hours,detailing_hours,study_hours,extra_hours,modelling_time,checking_time,detailing_time,study_hours_tracking,extra_hours_tracking
1,Alpha Tower,ABC Constructions,1003,,3500.0,3021.0,,2026-01-28,2026-02-17,0,,0,,1400.0,1225.0,875.0,0.0,0.0,1208.4,1057.35,755.25,0.0,0.0
2,Beta Plaza,XYZ Builders,1003,,3500.0,3027.0,,2026-01-28,2026-02-17,0,,0,,1400.0,1225.0,875.0,0.0,0.0,1210.8,1059.45,756.75,0.0,0.0
3,Gamma Heights,Acme Corp,1016,1017.0,3500.0,2997.0,,2026-03-09,,1,REIFA,0,,1400.0,1225.0,875.0,0.0,0.0,1198.8,1048.95,749.25,0.0,0.0
4,Delta Residency,Prime Estates,1016,1017.0,2875.0,2979.0,,2025-12-29,2026-10-05,0,REIFA,0,,1150.0,1006.25,718.75,0.0,0.0,1191.6,1042.65,744.75,0.0,0.0
5,Epsilon Mall,Urban Developers,1029,,3500.0,2997.0,,2026-03-09,,1,,0,,1400.0,1225.0,875.0,0.0,0.0,1198.8,1048.95,749.25,0.0,0.0
6,Zeta Complex,Skyline Group,1029,,3500.0,2988.0,,2026-03-09,,1,,0,,1400.0,1225.0,875.0,0.0,0.0,1195.2,1045.8,747.0,0.0,0.0
7,Eta Gardens,BuildFirst Ltd,1042,,3500.0,3030.0,,2026-03-09,,1,,0,,1400.0,1225.0,875.0,0.0,0.0,1212.0,1060.5,757.5,0.0,0.0
8,Theta Residency,StructurePro,1042,,4500.0,2895.0,,2026-03-09,,1,,0,,1800.0,1575.0,1125.0,0.0,0.0,1158.0,1013.25,723.75,0.0,0.0
9,Iota Towers,Horizon Builders,1055,,2954.0,3105.0,,2025-12-29,2026-10-05,0,,0,,1181.6,1033.9,738.5,0.0,0.0,1242.0,1086.75,776.25,0.0,0.0
10,Kappa Plaza,Metro Constructions,1055,,2769.0,3057.0,,2025-12-29,2026-10-05,0,,0,,1107.6,969.15,692.25,0.0,0.0,1222.8,1069.95,764.25,0.0,0.0
11,Lambda Heights,PinnacleWorks,1068,,3500.0,3051.0,,2026-01-28,2026-02-17,0,,0,,1400.0,1225.0,875.0,0.0,0.0,1220.4,1067.85,762.75,0.0,0.0
12,Mu Residency,CoreBuilders,1068,,3500.0,3021.0,,2026-03-09,,1,,0,,1400.0,1225.0,875.0,0.0,0.0,1208.4,1057.35,755.25,0.0,0.0
13,Nu Mall,Summit Estates,1081,,3500.0,2991.0,,2026-03-09,,1,,0,,1400.0,1225.0,875.0,0.0,0.0,1196.4,1046.85,747.75,0.0,0.0
14,Xi Complex,EliteBuild,1081,,3500.0,2958.0,,2026-03-09,,1,,0,,1400.0,1225.0,875.0,0.0,0.0,1183.2,1035.3,739.5,0.0,0.0
15,Omicron Gardens,AlphaStructures,1094,,3500.0,2997.0,,2026-03-09,,1,,0,,1400.0,1225.0,875.0,0.0,0.0,1198.8,1048.95,749.25,0.0,0.0
16,Pi Residency,NovaCorp,1094,,3500.0,3075.0,,2026-01-28,2026-02-17,0,,0,,1400.0,1225.0,875.0,0.0,0.0,1230.0,1076.25,768.75,0.0,0.0
17,Rho Tower,Sterling Const.,1003,,3500.0,2967.0,,2026-03-09,,1,,0,,1400.0,1225.0,875.0,0.0,0.0,1186.8,1038.45,741.75,0.0,0.0
18,Sigma Plaza,TridentBuilders,1003,,3500.0,2958.0,,2026-03-09,,1,,0,,1400.0,1225.0,875.0,0.0,0.0,1183.2,1035.3,739.5,0.0,0.0
19,Tau Heights,PeakWorks,1016,,3500.0,2982.0,,2026-03-09,,1,,0,,1400.0,1225.0,875.0,0.0,0.0,1192.8,1043.7,745.5,0.0,0.0
